North American Industry Classification,Fiscal Year,Industry Total Obligation/De-Obligation
OPTICAL INSTRUMENT AND LENS MANUFACTURING,2018,"$11,556,650.06"
TELEPHONE APPARATUS MANUFACTURING,2018,"$11,449,973.11"
DIAGNOSTIC IMAGING CENTERS,2018,"$11,022,546.63"
ALL OTHER ANIMAL PRODUCTION,2018,"$10,582,711.17"
OTHER BUILDING EQUIPMENT CONTRACTORS,2018,"$10,273,572.94"
EXAM PREPARATION AND TUTORING,2018,"$10,186,526.18"
FITNESS AND RECREATIONAL SPORTS CENTERS,2018,"$9,338,379.75"
PROFESSIONAL ORGANIZATIONS,2018,"$9,304,030.99"
HAZARDOUS WASTE COLLECTION,2018,"$9,297,314.44"
DENTAL EQUIPMENT AND SUPPLIES MANUFACTURING,2018,"$8,610,524.56"
WATER AND SEWER LINE AND RELATED STRUCTURES CONSTRUCTION,2018,"$8,595,723.42"
EDUCATIONAL SUPPORT SERVICES,2018,"$8,433,419.23"
SOLID WASTE COLLECTION,2018,"$8,256,746.01"
"SHOWCASE, PARTITION, SHELVING, AND LOCKER MANUFACTURING",2018,"$8,111,478.09"
COMPUTER AND OFFICE MACHINE REPAIR AND MAINTENANCE,2018,"$7,698,619.81"
CONVENTION AND TRADE SHOW ORGANIZERS,2018,"$7,305,069.03"
"PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS",2018,"$7,172,838.86"
REMEDIATION SERVICES,2018,"$7,133,943.06"
OTHER COMMUNICATIONS EQUIPMENT MANUFACTURING,2018,"$7,114,843.20"
ALL OTHER MISCELLANEOUS CHEMICAL PRODUCT AND PREPARATION MANUFACTURING,2018,"$6,731,286.67"
BROADWOVEN FABRIC FINISHING MILLS,2018,"$6,718,278.54"
OTHER BUILDING FINISHING CONTRACTORS,2018,"$6,524,476.89"
TELEPHONE ANSWERING SERVICES,2018,"$6,288,216.14"
PAYROLL SERVICES,2018,"$6,215,460.16"
OUTPATIENT MENTAL HEALTH AND SUBSTANCE ABUSE CENTERS,2018,"$6,017,364.50"
HARDWARE MANUFACTURING,2018,"$5,985,563.22"
MIXED MODE TRANSIT SYSTEMS,2018,"$5,962,278.12"
NONUPHOLSTERED WOOD HOUSEHOLD FURNITURE MANUFACTURING,2018,"$5,929,430.49"
DOCUMENT PREPARATION SERVICES,2018,"$5,882,222.54"
CREDIT BUREAUS,2018,"$5,680,368.01"
RESEARCH AND DEVELOPMENT IN NANOTECHNOLOGY,2018,"$5,658,864.25"
OTHER WAREHOUSING AND STORAGE,2018,"$5,579,362.43"
ALL OTHER BUSINESS SUPPORT SERVICES,2018,"$5,293,845.53"
ROOFING CONTRACTORS,2018,"$5,259,177.46"
"FINANCIAL TRANSACTIONS PROCESSING, RESERVE, AND CLEARINGHOUSE ACTIVITIES",2018,"$5,223,952.90"
OTHER MEASURING AND CONTROLLING DEVICE MANUFACTURING,2018,"$5,148,942.95"
OTHER SERVICES TO BUILDINGS AND DWELLINGS,2018,"$5,093,260.29"
COMPUTER STORAGE DEVICE MANUFACTURING,2018,"$5,044,840.17"
HAZARDOUS WASTE TREATMENT AND DISPOSAL,2018,"$4,987,196.93"
ALL OTHER INDUSTRIAL MACHINERY MANUFACTURING,2018,"$4,976,460.53"
CLAIMS ADJUSTING,2018,"$4,577,039.00"
PHOTOGRAPHIC AND PHOTOCOPYING EQUIPMENT MANUFACTURING,2018,"$4,330,227.09"
WIRELESS TELECOMMUNICATIONS CARRIERS (EXCEPT SATELLITE),2018,"$4,156,505.42"
"HIGHWAY, STREET, AND BRIDGE CONSTRUCTION",2018,"$4,138,533.05"
ALL OTHER SUPPORT SERVICES,2018,"$4,025,037.61"
LESSORS OF OTHER REAL ESTATE PROPERTY,2018,"$3,910,879.62"
IRRADIATION APPARATUS MANUFACTURING,2018,"$3,897,224.65"
INDUSTRIAL GAS MANUFACTURING,2018,"$3,864,638.25"
MOTION PICTURE AND VIDEO PRODUCTION,2018,"$3,790,742.62"
USED HOUSEHOLD AND OFFICE GOODS MOVING,2018,"$3,688,833.59"
COMPUTER AND COMPUTER PERIPHERAL EQUIPMENT AND SOFTWARE MERCHANT WHOLESALERS,2018,"$3,631,878.98"
"INSTRUMENTS AND RELATED PRODUCTS MANUFACTURING FOR MEASURING, DISPLAYING, AND CONTROLLING INDUSTRIAL PROCESS VARIABLES",2018,"$3,558,710.78"
OTHER APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING,2018,"$3,261,083.84"
OFFICES OF DENTISTS,2018,"$3,164,131.59"
COMMERCIAL PRINTING (EXCEPT SCREEN AND BOOKS),2018,"$3,139,258.35"
AUTOMOBILE MANUFACTURING,2018,"$3,127,651.64"
"OFFICES OF PHYSICIANS, MENTAL HEALTH SPECIALISTS",2018,"$2,929,261.06"
RESIDENTIAL MENTAL HEALTH AND SUBSTANCE ABUSE FACILITIES,2018,"$2,871,018.00"
KIDNEY DIALYSIS CENTERS,2018,"$2,835,042.24"
BUS AND OTHER MOTOR VEHICLE TRANSIT SYSTEMS,2018,"$2,807,702.79"
ALL OTHER BASIC ORGANIC CHEMICAL MANUFACTURING,2018,"$2,758,147.39"
INDUSTRIAL AND COMMERCIAL FAN AND BLOWER AND AIR PURIFICATION EQUIPMENT MANUFACTURING,2018,"$2,752,095.89"
BOOK PUBLISHERS,2018,"$2,744,312.68"
COURIERS AND EXPRESS DELIVERY SERVICES,2018,"$2,690,576.02"
NONSCHEDULED CHARTERED PASSENGER AIR TRANSPORTATION,2018,"$2,671,505.68"
OTHER COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT RENTAL AND LEASING,2018,"$2,609,692.96"
LABORATORY APPARATUS AND FURNITURE MANUFACTURING,2018,"$2,608,090.21"
LANDSCAPING SERVICES,2018,"$2,535,630.43"
DRYCLEANING AND LAUNDRY SERVICES (EXCEPT COIN-OPERATED),2018,"$2,532,376.21"
FABRIC COATING MILLS,2018,"$2,527,320.23"
OTHER ANIMAL FOOD MANUFACTURING,2018,"$2,506,750.64"
RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING,2018,"$2,499,668.25"
INTERNET SERVICE PROVIDERS,2018,"$2,493,912.73"
COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT (EXCEPT AUTOMOTIVE AND ELECTRONIC) REPAIR AND MAINTENANCE,2018,"$2,454,630.35"
HOUSEHOLD FURNITURE (EXCEPT WOOD AND METAL) MANUFACTURING,2018,"$2,375,143.21"
GRAPHIC DESIGN SERVICES,2018,"$2,355,909.23"
PAINTING AND WALL COVERING CONTRACTORS,2018,"$2,258,512.45"
ALL OTHER MISCELLANEOUS GENERAL PURPOSE MACHINERY MANUFACTURING,2018,"$2,226,795.07"
DENTAL LABORATORIES,2018,"$2,218,463.95"
MISCELLANEOUS FINANCIAL INVESTMENT ACTIVITIES,2018,"$2,135,000.00"
EXECUTIVE SEARCH SERVICES,2018,"$2,084,877.16"
COMMERCIAL BANKING,2018,"$1,979,546.39"
PETROLEUM AND PETROLEUM PRODUCTS MERCHANT WHOLESALERS (EXCEPT BULK STATIONS AND TERMINALS),2018,"$1,860,799.81"
TELECOMMUNICATIONS RESELLERS,2018,"$1,846,916.66"
INSTRUMENT MANUFACTURING FOR MEASURING AND TESTING ELECTRICITY AND ELECTRICAL SIGNALS,2018,"$1,806,355.87"
COMPUTER TERMINAL AND OTHER COMPUTER PERIPHERAL EQUIPMENT MANUFACTURING,2018,"$1,776,381.39"
SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS,2018,"$1,759,329.69"
LANDSCAPE ARCHITECTURAL SERVICES,2018,"$1,753,505.93"
SANITARY PAPER PRODUCT MANUFACTURING,2018,"$1,718,739.83"
ALL OTHER SPECIALTY TRADE CONTRACTORS,2018,"$1,660,833.23"
AUDIO AND VIDEO EQUIPMENT MANUFACTURING,2018,"$1,645,194.08"
ALL OTHER MISCELLANEOUS FABRICATED METAL PRODUCT MANUFACTURING,2018,"$1,620,437.55"
ALL OTHER TRAVEL ARRANGEMENT AND RESERVATION SERVICES,2018,"$1,610,689.08"
PETROLEUM REFINERIES,2018,"$1,578,570.24"
ALL OTHER MISCELLANEOUS MANUFACTURING,2018,"$1,527,892.85"
HARDWARE STORES,2018,"$1,525,979.10"
VOCATIONAL REHABILITATION SERVICES,2018,"$1,519,669.35"
TRUCK TRAILER MANUFACTURING,2018,"$1,512,866.17"
SCHEDULED PASSENGER AIR TRANSPORTATION,2018,"$1,505,973.70"
OIL AND GAS PIPELINE AND RELATED STRUCTURES CONSTRUCTION,2018,"$1,476,129.96"
OTHER SOCIAL ADVOCACY ORGANIZATIONS,2018,"$1,435,445.50"
ALL OTHER MISCELLANEOUS ELECTRICAL EQUIPMENT AND COMPONENT MANUFACTURING,2018,"$1,364,957.58"
DIRECTORY AND MAILING LIST PUBLISHERS,2018,"$1,360,741.30"
OTHER SOUND RECORDING INDUSTRIES,2018,"$1,336,845.93"
OTHER GRANTMAKING AND GIVING SERVICES,2018,"$1,328,187.57"
OFFICE SUPPLIES AND STATIONERY STORES,2018,"$1,321,976.70"
WOOD OFFICE FURNITURE MANUFACTURING,2018,"$1,296,370.75"
VOLUNTARY HEALTH ORGANIZATIONS,2018,"$1,290,020.57"
OTHER FABRICATED WIRE PRODUCT MANUFACTURING,2018,"$1,288,901.61"
ALL OTHER MISCELLANEOUS FOOD MANUFACTURING,2018,"$1,187,567.44"
ZOOS AND BOTANICAL GARDENS,2018,"$1,178,143.21"
MOBILE FOOD SERVICES,2018,"$1,135,795.00"
AIR-CONDITIONING AND WARM AIR HEATING EQUIPMENT AND COMMERCIAL AND INDUSTRIAL REFRIGERATION EQUIPMENT MANUFACTURING,2018,"$1,103,508.13"
OTHER GROCERY AND RELATED PRODUCTS MERCHANT WHOLESALERS,2018,"$1,095,372.67"
OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING,2018,"$1,072,107.46"
OPHTHALMIC GOODS MANUFACTURING,2018,"$1,048,004.64"
"SMALL ARMS, ORDNANCE, AND ORDNANCE ACCESSORIES MANUFACTURING",2018,"$979,563.33"
OFFICE SUPPLIES (EXCEPT PAPER) MANUFACTURING,2018,"$929,121.64"
AMBULANCE SERVICES,2018,"$921,756.00"
ELECTRIC BULK POWER TRANSMISSION AND CONTROL,2018,"$916,929.34"
MINING MACHINERY AND EQUIPMENT MANUFACTURING,2018,"$908,915.00"
ALL OTHER PLASTICS PRODUCT MANUFACTURING,2018,"$903,189.44"
NONSCHEDULED CHARTERED FREIGHT AIR TRANSPORTATION,2018,"$881,760.50"
"AUTOMATIC ENVIRONMENTAL CONTROL MANUFACTURING FOR RESIDENTIAL, COMMERCIAL, AND APPLIANCE USE",2018,"$879,740.08"
PREFABRICATED METAL BUILDING AND COMPONENT MANUFACTURING,2018,"$850,602.26"
OTHER PROFESSIONAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS,2018,"$849,328.63"
PRINTING MACHINERY AND EQUIPMENT MANUFACTURING,2018,"$828,887.08"
SERVICES FOR THE ELDERLY AND PERSONS WITH DISABILITIES,2018,"$798,955.50"
CONSUMER ELECTRONICS REPAIR AND MAINTENANCE,2018,"$778,667.10"
OTHER INDUSTRIAL MACHINERY MANUFACTURING,2018,"$778,319.38"
POSTAL SERVICE,2018,"$774,630.90"
APPLIANCE REPAIR AND MAINTENANCE,2018,"$772,012.83"
"SOFTWARE AND OTHER PRERECORDED COMPACT DISC, TAPE, AND RECORD REPRODUCING ",2018,"$736,799.00"
SOAP AND OTHER DETERGENT MANUFACTURING,2018,"$727,539.91"
PRIVATE MAIL CENTERS,2018,"$724,128.64"
OTHER INDIVIDUAL AND FAMILY SERVICES,2018,"$687,838.34"
TAXI SERVICE,2018,"$684,182.82"
GENERAL AUTOMOTIVE REPAIR,2018,"$665,000.00"
COMMUNICATION EQUIPMENT REPAIR AND MAINTENANCE,2018,"$656,848.69"
METAL TANK (HEAVY GAUGE) MANUFACTURING,2018,"$647,036.83"
OFFICE MACHINERY AND EQUIPMENT RENTAL AND LEASING,2018,"$614,668.94"
MORTGAGE AND NONMORTGAGE LOAN BROKERS,2018,"$609,619.94"
OUTDOOR ADVERTISING,2018,"$584,326.35"
BUSINESS ASSOCIATIONS,2018,"$572,769.84"
GENERAL WAREHOUSING AND STORAGE,2018,"$545,713.44"
INDUSTRIAL LAUNDERERS,2018,"$545,466.69"
LIMOUSINE SERVICE,2018,"$531,197.16"
ICE MANUFACTURING,2018,"$521,948.91"
FOOD PRODUCT MACHINERY MANUFACTURING,2018,"$518,855.37"
MUSEUMS,2018,"$515,752.00"
OFFICES OF PODIATRISTS,2018,"$512,168.03"
INTERIOR DESIGN SERVICES,2018,"$502,868.27"
"OFFICES OF PHYSICAL, OCCUPATIONAL AND SPEECH THERAPISTS, AND AUDIOLOGISTS",2018,"$500,837.87"
"OTHER FOUNDATION, STRUCTURE, AND BUILDING EXTERIOR CONTRACTORS",2018,"$497,000.84"
SPORTING AND ATHLETIC GOODS MANUFACTURING,2018,"$487,410.02"
POLISH AND OTHER SANITATION GOOD MANUFACTURING,2018,"$481,948.20"
OTHER CHEMICAL AND ALLIED PRODUCTS MERCHANT WHOLESALERS,2018,"$475,387.66"
OFFICE EQUIPMENT MERCHANT WHOLESALERS,2018,"$471,189.89"
STATIONERY AND OFFICE SUPPLIES MERCHANT WHOLESALERS,2018,"$465,162.94"
WATER SUPPLY AND IRRIGATION SYSTEMS,2018,"$455,599.08"
CARBON PAPER AND INKED RIBBON MANUFACTURING,2018,"$446,755.88"
COMMERCIAL SCREEN PRINTING,2018,"$444,307.24"
PHARMACIES AND DRUG STORES,2018,"$443,345.60"
OFFICES OF CHIROPRACTORS,2018,"$435,601.24"
FOOD SERVICE CONTRACTORS,2018,"$430,062.76"
"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",2018,"$423,089.70"
MOTOR VEHICLE BODY MANUFACTURING,2018,"$413,131.55"
NEWSPAPER PUBLISHERS,2018,"$402,239.66"
SEWAGE TREATMENT FACILITIES,2018,"$400,505.05"
HYDROELECTRIC POWER GENERATION,2018,"$399,866.00"
PETROLEUM BULK STATIONS AND TERMINALS,2018,"$393,479.07"
POURED CONCRETE FOUNDATION AND STRUCTURE CONTRACTORS,2018,"$388,588.84"
CONSUMER ELECTRONICS AND APPLIANCES RENTAL,2018,"$386,930.10"
SITE PREPARATION CONTRACTORS,2018,"$384,938.40"
FLOORING CONTRACTORS,2018,"$383,176.03"
CHICKEN EGG PRODUCTION,2018,"$374,698.46"
PAPER (EXCEPT NEWSPRINT) MILLS,2018,"$373,205.63"
AIR AND GAS COMPRESSOR MANUFACTURING,2018,"$370,052.32"
OTHER SPECIALIZED DESIGN SERVICES,2018,"$349,959.49"
TOTALIZING FLUID METER AND COUNTING DEVICE MANUFACTURING,2018,"$340,660.33"
"SCALE AND BALANCE MANUFACTURING (2007), SCALE AND BALANCE (EXCEPT LABORATORY) MANUFACTURING (2002)",2018,"$336,317.19"
"PHOTOGRAPHIC FILM, PAPER, PLATE, AND CHEMICAL MANUFACTURING",2018,"$335,364.99"
CONSTRUCTION MACHINERY MANUFACTURING,2018,"$333,419.17"
BROADWOVEN FABRIC MILLS,2018,"$323,538.53"
"ELECTRICAL APPARATUS AND EQUIPMENT, WIRING SUPPLIES, AND RELATED EQUIPMENT MERCHANT  WHOLESALERS",2018,"$320,351.42"
ELEMENTARY AND SECONDARY SCHOOLS,2018,"$319,644.74"
CATERERS,2018,"$319,048.00"
INDUSTRIAL MACHINERY AND EQUIPMENT MERCHANT WHOLESALERS,2018,"$307,013.49"
HOME HEALTH CARE SERVICES,2018,"$290,322.62"
OTHER ELECTRONIC COMPONENT MANUFACTURING,2018,"$287,521.71"
OTHER MILLWORK (INCLUDING FLOORING),2018,"$286,000.00"
BOOKS PRINTING,2018,"$285,916.05"
"INDUSTRIAL TRUCK, TRACTOR, TRAILER, AND STACKER MACHINERY MANUFACTURING",2018,"$284,917.13"
"DRY, CONDENSED, AND EVAPORATED DAIRY PRODUCT MANUFACTURING",2018,"$275,000.00"
POWER AND COMMUNICATION LINE AND RELATED STRUCTURES CONSTRUCTION,2018,"$273,184.32"
CHILD AND YOUTH SERVICES,2018,"$269,212.50"
HUMAN RIGHTS ORGANIZATIONS,2018,"$261,480.56"
"REGULATION, LICENSING, AND INSPECTION OF MISCELLANEOUS COMMERCIAL SECTORS",2018,"$261,147.70"
OTHER BUILDING MATERIAL DEALERS,2018,"$257,899.01"
PROFESSIONAL EMPLOYER ORGANIZATIONS (FORMERLY EMPLOYEE LEASING SERVICES),2018,"$249,752.96"
OTHER ELECTRIC POWER GENERATION,2018,"$249,741.17"
MOTOR AND GENERATOR MANUFACTURING,2018,"$249,402.67"
GENERAL LINE GROCERY MERCHANT WHOLESALERS,2018,"$242,558.10"
TOILET PREPARATION MANUFACTURING,2018,"$242,391.18"
DRILLING OIL AND GAS WELLS,2018,"$240,000.00"
ALL OTHER MISCELLANEOUS SCHOOLS AND INSTRUCTION,2018,"$237,919.50"
LAND SUBDIVISION,2018,"$237,790.00"
HARDWARE MERCHANT WHOLESALERS,2018,"$235,467.42"
FUR-BEARING ANIMAL AND RABBIT PRODUCTION,2018,"$231,584.03"
PLASTICS BAG MANUFACTURING,2018,"$223,549.06"
LOCKSMITHS,2018,"$222,673.49"
"ADMINISTRATION OF HUMAN RESOURCE PROGRAMS (EXCEPT EDUCATION, PUBLIC HEALTH, AND VETERANS' AFFAIRS PROGRAMS)",2018,"$217,411.00"
SATELLITE TELECOMMUNICATIONS,2018,"$216,283.08"
ALL OTHER MISCELLANEOUS TEXTILE PRODUCT MILLS,2018,"$213,911.06"
ALL OTHER LEATHER GOOD MANUFACTURING,2018,"$209,577.61"
SIGN MANUFACTURING,2018,"$198,018.63"
OFFICES OF MENTAL HEALTH PRACTITIONERS (EXCEPT PHYSICIANS),2018,"$194,849.85"
SUPPORT ACTIVITIES FOR COAL MINING,2018,"$191,833.85"
OTHER BASIC INORGANIC CHEMICAL MANUFACTURING,2018,"$189,275.10"
OTHER HEAVY AND CIVIL ENGINEERING CONSTRUCTION,2018,"$182,860.40"
TEXTILE BAG AND CANVAS MILLS,2018,"$174,318.63"
FURNITURE MERCHANT WHOLESALERS,2018,"$173,549.06"
MAIL-ORDER HOUSES,2018,"$166,341.76"
"BOOK, PERIODICAL, AND NEWSPAPER MERCHANT WHOLESALERS",2018,"$166,176.39"
OTHER WASTE COLLECTION,2018,"$164,939.68"
"GENERAL FREIGHT TRUCKING, LOCAL",2018,"$164,921.03"
ALL OTHER CONVERTED PAPER PRODUCT MANUFACTURING,2018,"$161,466.76"
BUILDING INSPECTION SERVICES,2018,"$159,647.54"
SEMICONDUCTOR AND RELATED DEVICE MANUFACTURING,2018,"$159,099.76"
SUPPORT ACTIVITIES FOR PRINTING,2018,"$157,884.52"
LESSORS OF MINIWAREHOUSES AND SELF-STORAGE UNITS,2018,"$157,770.23"
NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),2018,"$157,525.08"
ALL OTHER TRANSPORTATION EQUIPMENT MANUFACTURING,2018,"$157,120.72"
FUEL DEALERS,2018,"$156,781.40"
EXECUTIVE OFFICES,2018,"$156,097.00"
LIQUEFIED PETROLEUM GAS (BOTTLED GAS) DEALERS,2018,"$155,479.60"
SWITCHGEAR AND SWITCHBOARD APPARATUS MANUFACTURING,2018,"$153,590.33"
AMERICAN INDIAN AND ALASKA NATIVE TRIBAL GOVERNMENTS,2018,"$153,128.52"
PRINTING AND WRITING PAPER MERCHANT WHOLESALERS,2018,"$153,095.00"
CABLE AND OTHER SUBSCRIPTION PROGRAMMING,2018,"$150,543.60"
TEMPORARY SHELTERS,2018,"$149,933.81"
HEAVY DUTY TRUCK MANUFACTURING,2018,"$147,984.19"
FOOTWEAR MANUFACTURING,2018,"$146,643.75"
PERISHABLE PREPARED FOOD MANUFACTURING,2018,"$145,757.15"
OFFICES OF OPTOMETRISTS,2018,"$143,966.75"
OTHER TECHNICAL AND TRADE SCHOOLS,2018,"$142,638.18"
LINEN SUPPLY,2018,"$141,248.88"
LOCAL MESSENGERS AND LOCAL DELIVERY,2018,"$138,553.93"
CHILD DAY CARE SERVICES,2018,"$135,511.00"
SPORTS AND RECREATION INSTRUCTION,2018,"$134,549.16"
FARM MACHINERY AND EQUIPMENT MANUFACTURING,2018,"$131,107.06"
PESTICIDE AND OTHER AGRICULTURAL CHEMICAL MANUFACTURING,2018,"$130,970.77"
PHOTOGRAPHIC EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS,2018,"$128,920.43"
APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING,2018,"$125,891.82"
"BROOM, BRUSH, AND MOP MANUFACTURING",2018,"$114,420.92"
"ENVIRONMENT, CONSERVATION AND WILDLIFE ORGANIZATIONS",2018,"$114,129.47"
"TRUCK, UTILITY TRAILER, AND RV (RECREATIONAL VEHICLE) RENTAL AND LEASING",2018,"$110,790.05"
HOME HEALTH EQUIPMENT RENTAL,2018,"$110,352.31"
PLASTICS BOTTLE MANUFACTURING,2018,"$107,082.75"
COMMERCIAL PHOTOGRAPHY,2018,"$106,184.90"
CURTAIN AND LINEN MILLS,2018,"$105,695.24"
RELIGIOUS ORGANIZATIONS,2018,"$104,763.97"
FUNERAL HOMES AND FUNERAL SERVICES,2018,"$102,891.07"
ELECTRONICS STORES,2018,"$100,251.14"
ALL OTHER PETROLEUM AND COAL PRODUCTS MANUFACTURING,2018,"$100,000.00"
SURVEYING AND MAPPING (EXCEPT GEOPHYSICAL) SERVICES,2018,"$98,192.64"
WARM AIR HEATING AND AIR-CONDITIONING EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS,2018,"$96,994.16"
FRAMING CONTRACTORS,2018,"$94,129.00"
RELAY AND INDUSTRIAL CONTROL MANUFACTURING,2018,"$92,497.80"
OTHER LIGHTING EQUIPMENT MANUFACTURING,2018,"$91,781.00"
FIRE PROTECTION,2018,"$91,768.66"
OTHER GENERAL GOVERNMENT SUPPORT,2018,"$91,704.35"
CORRUGATED AND SOLID FIBER BOX MANUFACTURING,2018,"$88,313.52"
FLUID POWER VALVE AND HOSE FITTING MANUFACTURING,2018,"$87,792.00"
STATIONERY PRODUCT MANUFACTURING,2018,"$86,608.75"
"POWER, DISTRIBUTION, AND SPECIALTY TRANSFORMER MANUFACTURING",2018,"$86,445.64"
PLUMBING FIXTURE FITTING AND TRIM MANUFACTURING,2018,"$85,964.66"
FINFISH FARMING AND FISH HATCHERIES,2018,"$84,999.82"
SAWMILLS,2018,"$84,916.92"
POWER-DRIVEN HANDTOOL MANUFACTURING,2018,"$84,492.92"
HOME CENTERS,2018,"$84,378.46"
OPHTHALMIC GOODS MERCHANT WHOLESALERS,2018,"$83,954.50"
METAL WINDOW AND DOOR MANUFACTURING,2018,"$83,032.34"
ALL OTHER RUBBER PRODUCT MANUFACTURING,2018,"$82,805.32"
LIGHT TRUCK AND UTILITY VEHICLE MANUFACTURING,2018,"$80,610.22"
OTHER NONHAZARDOUS WASTE TREATMENT AND DISPOSAL,2018,"$79,813.72"
"OTHER AQUACULTURE (2007), OTHER ANIMAL AQUACULTURE (2002)",2018,"$79,307.88"
ALL OTHER MISCELLANEOUS STORE RETAILERS (EXCEPT TOBACCO STORES),2018,"$76,528.03"
ALL OTHER HEALTH AND PERSONAL CARE STORES,2018,"$75,437.46"
WOOD KITCHEN CABINET AND COUNTERTOP MANUFACTURING,2018,"$73,531.49"
SEPTIC TANK AND RELATED SERVICES,2018,"$73,356.00"
MEDIA REPRESENTATIVES,2018,"$73,339.99"
OTHER ENGINE EQUIPMENT MANUFACTURING,2018,"$70,935.75"
HOG AND PIG FARMING,2018,"$69,510.00"
CONVEYOR AND CONVEYING EQUIPMENT MANUFACTURING,2018,"$68,186.73"
REFRIGERATION EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS,2018,"$67,342.21"
ELECTRIC LAMP BULB AND PART MANUFACTURING,2018,"$66,611.79"
CERAMIC WALL AND FLOOR TILE MANUFACTURING,2018,"$64,700.00"
PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,2018,"$64,502.31"
POLICE PROTECTION,2018,"$63,916.96"
TELEPRODUCTION AND OTHER POSTPRODUCTION SERVICES,2018,"$62,636.16"
ELEVATOR AND MOVING STAIRWAY MANUFACTURING,2018,"$62,478.90"
SALES FINANCING,2018,"$62,394.64"
OTHER COMMERCIAL EQUIPMENT MERCHANT WHOLESALERS,2018,"$61,803.66"
POULTRY PROCESSING,2018,"$61,500.00"
SPORTING GOODS STORES,2018,"$60,615.52"
OTHER ELECTRONIC PARTS AND EQUIPMENT MERCHANT WHOLESALERS,2018,"$59,362.98"
CARPET AND RUG MILLS,2018,"$59,331.57"
FREIGHT TRANSPORTATION ARRANGEMENT,2018,"$58,832.21"
POWER BOILER AND HEAT EXCHANGER MANUFACTURING,2018,"$57,814.52"
OTHER METAL CONTAINER MANUFACTURING,2018,"$57,682.09"
ALL OTHER MISCELLANEOUS WOOD PRODUCT MANUFACTURING,2018,"$57,192.16"
HOSIERY AND SOCK MILLS,2018,"$56,150.58"
RUBBER PRODUCT MANUFACTURING FOR MECHANICAL USE,2018,"$55,713.42"
OTHER MOTION PICTURE AND VIDEO INDUSTRIES,2018,"$55,600.00"
ADMINISTRATION OF EDUCATION PROGRAMS,2018,"$55,397.58"
HOUSEHOLD REFRIGERATOR AND HOME FREEZER MANUFACTURING,2018,"$54,874.87"
SMALL ELECTRICAL APPLIANCE MANUFACTURING,2018,"$53,083.44"
FREESTANDING AMBULATORY SURGICAL AND EMERGENCY CENTERS,2018,"$53,057.51"
CUSTOM COMPOUNDING OF PURCHASED RESINS,2018,"$52,510.24"
PAINT AND COATING MANUFACTURING,2018,"$52,492.98"
"CUT STOCK, RESAWING LUMBER, AND PLANING",2018,"$50,000.00"
OTHER PRESSED AND BLOWN GLASS AND GLASSWARE MANUFACTURING,2018,"$49,608.80"
ARTIFICIAL AND SYNTHETIC FIBERS AND FILAMENTS MANUFACTURING,2018,"$49,194.40"
SPORTING AND RECREATIONAL GOODS AND SUPPLIES MERCHANT WHOLESALERS,2018,"$49,162.68"
"COPPER ROLLING, DRAWING, EXTRUDING, AND ALLOYING",2018,"$48,950.74"
LESSORS OF RESIDENTIAL BUILDINGS AND DWELLINGS,2018,"$48,488.58"
SOLAR ELECTRIC POWER GENERATION,2018,"$48,000.00"
"INDEPENDENT ARTISTS, WRITERS, AND PERFORMERS",2018,"$47,870.00"
MACHINE SHOPS,2018,"$46,469.18"
INDUSTRIAL SUPPLIES MERCHANT WHOLESALERS,2018,"$45,786.34"
ELECTRONIC SHOPPING AND MAIL-ORDER HOUSES,2018,"$45,717.15"
TAX PREPARATION SERVICES,2018,"$45,518.00"
QUICK PRINTING,2018,"$44,997.64"
PLUMBING AND HEATING EQUIPMENT AND SUPPLIES (HYDRONICS) MERCHANT WHOLESALERS,2018,"$44,868.36"
OTHER COMPUTER PERIPHERAL EQUIPMENT MANUFACTURING,2018,"$44,326.23"
ADVERTISING MATERIAL DISTRIBUTION SERVICES,2018,"$43,831.18"
PRINTING INK MANUFACTURING,2018,"$43,373.00"
GEOPHYSICAL SURVEYING AND MAPPING SERVICES,2018,"$42,840.76"
COURT REPORTING AND STENOTYPE SERVICES,2018,"$41,912.80"
STORAGE BATTERY MANUFACTURING,2018,"$41,441.55"
CIVIC AND SOCIAL ORGANIZATIONS,2018,"$41,228.72"
PACKING AND CRATING,2018,"$41,170.19"
"SPECIALIZED FREIGHT (EXCEPT USED GOODS) TRUCKING, LOCAL",2018,"$41,122.50"
